2024-05-01 15:50:56,146 INFO    StreamThr :16636 [internal.py:wandb_internal():86] W&B internal server running at pid: 16636, started at: 2024-05-01 15:50:56.145282
2024-05-01 15:50:56,157 DEBUG   HandlerThread:16636 [handler.py:handle_request():146] handle_request: status
2024-05-01 15:50:56,180 INFO    WriterThread:16636 [datastore.py:open_for_write():87] open: c:\PCO\generate_model\wandb\run-20240501_155056-xzdqy7d8\run-xzdqy7d8.wandb
2024-05-01 15:50:56,181 DEBUG   SenderThread:16636 [sender.py:send():379] send: header
2024-05-01 15:50:56,291 DEBUG   SenderThread:16636 [sender.py:send():379] send: run
2024-05-01 15:50:56,897 INFO    SenderThread:16636 [dir_watcher.py:__init__():211] watching files in: c:\PCO\generate_model\wandb\run-20240501_155056-xzdqy7d8\files
2024-05-01 15:50:56,897 INFO    SenderThread:16636 [sender.py:_start_run_threads():1124] run started: xzdqy7d8 with start time 1714571456.171287
2024-05-01 15:50:56,937 DEBUG   HandlerThread:16636 [handler.py:handle_request():146] handle_request: check_version
2024-05-01 15:50:56,938 DEBUG   SenderThread:16636 [sender.py:send_request():406] send_request: check_version
2024-05-01 15:50:57,102 DEBUG   HandlerThread:16636 [handler.py:handle_request():146] handle_request: run_start
2024-05-01 15:50:57,138 DEBUG   HandlerThread:16636 [system_info.py:__init__():26] System info init
2024-05-01 15:50:57,138 DEBUG   HandlerThread:16636 [system_info.py:__init__():41] System info init done
2024-05-01 15:50:57,139 INFO    HandlerThread:16636 [system_monitor.py:start():194] Starting system monitor
2024-05-01 15:50:57,139 INFO    SystemMonitor:16636 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-05-01 15:50:57,139 INFO    HandlerThread:16636 [system_monitor.py:probe():214] Collecting system info
2024-05-01 15:50:57,147 INFO    SystemMonitor:16636 [interfaces.py:start():190] Started cpu monitoring
2024-05-01 15:50:57,154 DEBUG   HandlerThread:16636 [system_info.py:probe():150] Probing system
2024-05-01 15:50:57,154 INFO    SystemMonitor:16636 [interfaces.py:start():190] Started disk monitoring
2024-05-01 15:50:57,163 INFO    SystemMonitor:16636 [interfaces.py:start():190] Started memory monitoring
2024-05-01 15:50:57,180 INFO    SystemMonitor:16636 [interfaces.py:start():190] Started network monitoring
2024-05-01 15:50:57,197 DEBUG   HandlerThread:16636 [system_info.py:_probe_git():135] Probing git
2024-05-01 15:50:57,372 DEBUG   HandlerThread:16636 [system_info.py:_probe_git():143] Probing git done
2024-05-01 15:50:57,372 DEBUG   HandlerThread:16636 [system_info.py:probe():198] Probing system done
